step,global_shape_C,spread,distance_to_target,target_x,target_y,status
0,0.5321864022132838,0.042653970888307774,0.47813207001262564,0.85,0.5,PASS
1,0.5466591944243862,0.04037478549277155,0.4657390432375884,0.8496929905346005,0.5167502614916798,PASS
2,0.560736156941825,0.038847023457470625,0.4519622451790423,0.8487725007373266,0.5334711373329262,PASS
3,0.5775808788047019,0.03653838582916826,0.4366779369212021,0.8472401454600673,0.5501332934257217,PASS
4,0.5907028082945842,0.03565144052188882,0.4224928883270476,0.8450986129746767,0.5667074986864409,PASS
5,0.6053989859774898,0.03279660503020727,0.41125975495261957,0.842351660256832,0.5831646763271037,PASS
6,0.6188657606114953,0.031039825978387173,0.39881823428966284,0.8390041063950209,0.599475954865942,PASS
7,0.6277658611628973,0.03146062308283871,0.3866411158392816,0.8350618241362235,0.6156127187777887,PASS
8,0.6406312774660252,0.030211445913711187,0.3736822883831906,0.8305317295831184,0.6315466586954332,PASS
9,0.6490016623892296,0.030755179926624913,0.36185997219690075,0.825421770060888,0.6472498210738712,PASS
10,0.6617658487965148,0.02878428279034782,0.350831982028487,0.8197409101749102,0.6626946572303201,PASS
11,0.6677113853592311,0.02918378525771747,0.34240130515666733,0.8134991160837945,0.6778540716739709,PASS
12,0.6777275998955097,0.027429287542372904,0.33426728127468064,0.8067073380153522,0.6927014696406861,PASS
13,0.688411858254002,0.025489337312441608,0.32576183390139335,0.7993774910561773,0.707210803749252,PASS
14,0.6972285783176717,0.024830782914046525,0.31638731981779417,0.7915224342485347,0.7213566196973377,PASS
15,0.699441259234842,0.026207885915180668,0.3101787111684958,0.7831559480312316,0.7351141009169893,PASS
16,0.7087756211138151,0.025327395498306593,0.3007119848619646,0.774292710064044,0.7484591121113241,PASS
17,0.7138903003928855,0.025904334239808625,0.2928762889093715,0.7649482694781147,0.7613682415960421,PASS
18,0.7138271886263996,0.028519432520794474,0.28641743291501437,0.7551390195974941,0.7738188423714755,PASS
19,0.7196946467867645,0.028729131655251282,0.27855886237841615,0.7448821691796779,0.7857890718531213,PASS
20,0.7245287269743825,0.02840004545974587,0.273338977632657,0.7341957122256004,0.7972579301909577,PASS
21,0.730033476241114,0.028698728940579288,0.26571133234715916,0.7230983964120414,0.8082052971103157,PASS
22,0.7347085905733697,0.028829447065891824,0.2595406441185583,0.7116096902018313,0.8186119672096785,PASS
23,0.7394494276258687,0.029026873825047428,0.2531210309050455,0.6997497486895511,0.8284596836534817,PASS
24,0.7456115125100399,0.027994618366738992,0.24799906344560266,0.6875393782426488,0.8377311702008061,PASS
25,0.7548697241265184,0.025130397299295403,0.2435868515936135,0.6749999999999999,0.8464101615137756,PASS
26,0.7580549232244217,0.025556636854420917,0.2385397538334207,0.6621536122919516,0.8544814316924859,PASS
27,0.7622329603566212,0.025536260652712896,0.23336814792244112,0.6490227520477754,0.8619308209864078,PASS
28,0.7676890001865104,0.023876389100196706,0.2306977770163702,0.635630455258236,0.8687452606354003,PASS
29,0.7690371554120499,0.025021679569719023,0.22614935681064005,0.6220002165626354,0.8749127957967566,PASS
30,0.7679034755829851,0.026376240418891243,0.22418005447404046,0.6081559480312316,0.8804226065180614,PASS
31,0.7658250804581778,0.02753697272921174,0.22387621760424842,0.594121937215343,0.8852650267190634,PASS
32,0.7652224112517183,0.028939064083862792,0.2211243257256951,0.5799228045387296,0.889431561149264,PASS
33,0.7656541569057438,0.0291713098867027,0.22000402915106357,0.5655834601050036,0.8929149002914755,PASS
34,0.7723487198978517,0.02698298305501141,0.21710664249015685,0.551129059996844,0.8957089331851953,PASS
35,0.7787731017956923,0.02461731759851669,0.21499032875909285,0.5365849621436788,0.8978087581473093,PASS
36,0.7824277051345722,0.022926194492824126,0.2146498823497245,0.5219766818352597,0.8992106913713087,PASS
37,0.7863393938252808,0.021781820642238905,0.2126212061128017,0.5073298469591749,0.8999122733899383,PASS
38,0.783605015602192,0.023668616795011033,0.21132218850973242,0.4926701530408252,0.8999122733899383,PASS
39,0.7851446711315008,0.024485410241798785,0.207355635481127,0.47802331816474036,0.8992106913713087,PASS
40,0.7843831380722094,0.024601439975986288,0.2080174774697725,0.4634150378563213,0.8978087581473093,PASS
41,0.7847909676186238,0.02547105993838958,0.2053336406307463,0.448870940003156,0.8957089331851953,PASS
42,0.7821833726682217,0.025953000655149435,0.2073882825268492,0.4344165398949964,0.8929149002914756,PASS
43,0.783564732438788,0.02535918600792372,0.20714611943170572,0.42007719546127054,0.8894315611492641,PASS
44,0.7862422855304014,0.024224072640573746,0.20663696148556376,0.4058780627846571,0.8852650267190634,PASS
45,0.791905478074141,0.021696462217797204,0.2058769968628307,0.3918440519687684,0.8804226065180615,PASS
46,0.7935596527240382,0.020893558576660413,0.20581653765330118,0.37799978343736473,0.8749127957967566,PASS
47,0.7918835717534892,0.02156776867221821,0.20622611362759297,0.364369544741764,0.8687452606354003,PASS
48,0.7895846348882385,0.021814195210214656,0.20848371836416527,0.35097724795222457,0.8619308209864078,PASS
49,0.78531922660054,0.023129695007493168,0.21052672923059199,0.3378463877080485,0.854481431692486,PASS
50,0.7851886083599136,0.023405076626994245,0.21000154798262244,0.32499999999999996,0.8464101615137753,PASS
51,0.7817098027822676,0.023719836643168624,0.21356315491424385,0.31246062175735123,0.8377311702008061,PASS
52,0.7830778203419846,0.022419838117353614,0.21510312927913527,0.3002502513104489,0.8284596836534817,PASS
53,0.779221727425669,0.02331066000303676,0.21769619071032176,0.2883903097981688,0.8186119672096785,PASS
54,0.7786283183690403,0.022970185369568418,0.21928913861477856,0.27690160358795857,0.8082052971103157,PASS
55,0.776947565854099,0.023174674491510516,0.2208788564536,0.26580428777439963,0.7972579301909577,PASS
56,0.7764403059965763,0.022912272545543115,0.22216893614042174,0.2551178308203221,0.7857890718531213,PASS
57,0.7714050355397312,0.02442381334382525,0.22468417221577283,0.24486098040250603,0.7738188423714756,PASS
58,0.767925147525005,0.025867325136909876,0.22542525275146916,0.23505173052188533,0.7613682415960423,PASS
59,0.7664753692575348,0.02592446700179981,0.22709462092358207,0.22570728993595612,0.7484591121113242,PASS
60,0.7631307395966758,0.026048636589573723,0.23096498403022095,0.21684405196876844,0.7351141009169893,PASS
61,0.7593577280142194,0.027010331926866398,0.23327701016505964,0.2084775657514652,0.7213566196973377,PASS
62,0.7596024522387035,0.025948720922716186,0.23562513239483016,0.20062250894382272,0.707210803749252,PASS
63,0.7581231989712905,0.02642658119021263,0.2362795483103552,0.19329266198464778,0.6927014696406861,PASS
64,0.7596143010665051,0.025694211384905054,0.23624659520460603,0.18650088391620556,0.6778540716739712,PASS
65,0.7580448997801386,0.025726218271016604,0.2381283295972852,0.18025908982508976,0.6626946572303202,PASS
66,0.7553769828262862,0.025854976274145777,0.24114133078177785,0.17457822993911204,0.6472498210738713,PASS
67,0.7551722197139978,0.024590211418175592,0.2445591968120638,0.16946827041688167,0.6315466586954334,PASS
68,0.748197967111778,0.025802212402033023,0.25024701010519496,0.16493817586377646,0.6156127187777887,PASS
69,0.7493412749445711,0.024185213739743902,0.2528603719699262,0.16099589360497912,0.599475954865942,PASS
70,0.7432246425574764,0.025384476578718892,0.2575080053563572,0.15764833974316805,0.5831646763271039,PASS
71,0.7415890037318644,0.024848949004019467,0.26089137282512076,0.1549013870253233,0.5667074986864409,PASS
72,0.7397227653827377,0.02445653774180662,0.26420519891706123,0.1527598545399328,0.5501332934257218,PASS
73,0.741664481104957,0.022300318722041468,0.2671686018137001,0.15122749926267348,0.5334711373329263,PASS
74,0.7374666124489692,0.023225205994937485,0.27010371945144485,0.1503070094653996,0.5167502614916799,PASS
75,0.7336558043708634,0.024208090380996153,0.2724100185839303,0.15000000000000002,0.5,PASS
76,0.7349651503413707,0.023139502883631067,0.27344480486420897,0.1503070094653996,0.48324973850832037,PASS
77,0.724372717471308,0.02648822348086564,0.27831354445870077,0.15122749926267348,0.46652886266707383,PASS
78,0.7220283486687757,0.02523447004988773,0.28437838903931095,0.15275985453993274,0.44986670657427846,PASS
79,0.7236268392501386,0.023888019626206736,0.2857464018718099,0.1549013870253233,0.43329250131355906,PASS
80,0.7235028187095629,0.022229320156359374,0.2900481762221479,0.15764833974316805,0.4168353236728964,PASS
81,0.7191003003471044,0.023130621907538482,0.2932980697972733,0.16099589360497912,0.40052404513405815,PASS
82,0.7214835360438681,0.021013043159343475,0.29561297204680625,0.1649381758637764,0.3843872812222116,PASS
83,0.7201398013771736,0.021251808641071217,0.296695726675855,0.16946827041688167,0.36845334130456653,PASS
84,0.7210377489923817,0.020877172423968783,0.2965098826996009,0.17457822993911198,0.3527501789261288,PASS
85,0.7215118131867225,0.018943343362014167,0.3007518751115615,0.1802590898250897,0.33730534276967994,PASS
86,0.7184279332495825,0.01890886203564968,0.3046929283488976,0.18650088391620545,0.3221459283260292,PASS
87,0.7139717453248244,0.02059319886494584,0.3060523211816049,0.19329266198464773,0.307298530359314,PASS
88,0.7115803710448965,0.021725889344258054,0.3062098128332343,0.20062250894382255,0.2927891962507482,PASS
89,0.7087959494801177,0.022919757036570693,0.3067056705584262,0.20847756575146525,0.2786433803026622,PASS
90,0.7078515526718417,0.022799000367121028,0.30818805824239526,0.21684405196876838,0.26488589908301075,PASS
91,0.7042955648871589,0.02410598458243702,0.3093655824349588,0.22570728993595607,0.2515408878886759,PASS
92,0.7026526622873127,0.024593136200609475,0.3102013316393354,0.23505173052188516,0.23863175840395795,PASS
93,0.7013780445404572,0.025233798053858038,0.31019294918978346,0.24486098040250587,0.22618115762852464,PASS
94,0.6971922049424217,0.026881607793318323,0.311305724338677,0.25511783082032213,0.2142109281468786,PASS
95,0.6996909466784453,0.026835918342082224,0.30829652079673775,0.2658042877743997,0.20274206980904225,PASS
96,0.7023740439328969,0.026641128651443392,0.30542962345527025,0.2769016035879587,0.19179470288968425,PASS
97,0.7002889402268575,0.02729460765655649,0.30640230557503684,0.2883903097981686,0.18138803279032162,PASS
98,0.7003772811136727,0.027313622307759793,0.3062443428385096,0.30025025131044875,0.1715403163465185,PASS
99,0.69771094551061,0.02835181975604907,0.3069817687216149,0.3124606217573513,0.16226882979919388,PASS
100,0.696754908104215,0.028524435016539028,0.3077452773283837,0.3250000000000002,0.15358983848622443,PASS
101,0.7005709493797726,0.027118723760126258,0.30648950387496865,0.33784638770804826,0.1455185683075142,PASS
102,0.6997782359800699,0.028191928503508157,0.30479738376614224,0.3509772479522245,0.13806917901359222,PASS
103,0.6978467068161458,0.029860294642659768,0.30304087987316825,0.36436954474176386,0.1312547393645998,PASS
104,0.7014225811878989,0.02794016372029111,0.3033713642143985,0.3779997834373646,0.12508720420324337,PASS
105,0.7047101070163477,0.027086472193965594,0.3013961857446513,0.39184405196876837,0.11957739348193858,PASS
106,0.7069613982953908,0.026316810823229227,0.3005062250726883,0.405878062784657,0.11473497328093674,PASS
107,0.7181609694714359,0.02162616237550118,0.29823338222195206,0.4200771954612705,0.11056843885073586,PASS
108,0.7180463036561499,0.021668817047036857,0.2982700778122204,0.4344165398949964,0.10708509970852448,PASS
109,0.7140804115001581,0.024057744545339415,0.2972551242614538,0.44887094000315564,0.10429106681480471,PASS
110,0.715251111163575,0.024193802872563442,0.2954516038641226,0.4634150378563213,0.10219124185269063,PASS
111,0.7165084967707319,0.024581473822463375,0.29291069448042656,0.47802331816474036,0.10078930862869134,PASS
112,0.7162791838832909,0.02500519475296322,0.29213803326347837,0.4926701530408251,0.10008772661006177,PASS
113,0.7189841811275343,0.02400915546739069,0.2912468849221055,0.5073298469591747,0.10008772661006177,PASS
114,0.720315731968387,0.023230715448179978,0.2915285464190662,0.5219766818352595,0.10078930862869134,PASS
115,0.7159057629338753,0.026038742261423546,0.29002094067909695,0.5365849621436789,0.10219124185269068,PASS
116,0.715208716757959,0.02753194226073187,0.2871592484007216,0.5511290599968439,0.10429106681480466,PASS
117,0.7145765619738217,0.02830273026311121,0.28602247187494484,0.5655834601050035,0.10708509970852448,PASS
118,0.7178417766471641,0.027667931990634647,0.2835279492144583,0.5799228045387294,0.11056843885073586,PASS
119,0.7204953557959105,0.02728875184474509,0.28115892564324907,0.5941219372153429,0.11473497328093668,PASS
120,0.7152396449243479,0.03037232890233405,0.28001962158873006,0.6081559480312315,0.11957739348193852,PASS
121,0.7168869473106745,0.02944614148254146,0.2802759621553033,0.6220002165626353,0.12508720420324337,PASS
122,0.7134188437576461,0.031668029366308054,0.27905637188717214,0.635630455258236,0.13125473936459975,PASS
123,0.7165170446879479,0.03120267353253405,0.27634701030873005,0.6490227520477754,0.13806917901359217,PASS
124,0.7192194080220145,0.03032600209833508,0.27516073472664426,0.6621536122919516,0.14551856830751408,PASS
125,0.7189440091538167,0.031370120311463225,0.27289468777907094,0.6749999999999998,0.15358983848622437,PASS
126,0.7202264776200686,0.03108991180027886,0.271992123474217,0.6875393782426489,0.162268829799194,PASS
127,0.7198118517496284,0.030550349261571175,0.2738593121590366,0.6997497486895511,0.1715403163465184,PASS
128,0.7221768441176036,0.03116640417588298,0.269362934413288,0.711609690201831,0.18138803279032129,PASS
129,0.7272899411441831,0.02961705316974793,0.26684494064540126,0.7230983964120412,0.19179470288968414,PASS
130,0.7277892970385824,0.02908956894801865,0.2675394563317253,0.7341957122256002,0.20274206980904214,PASS
131,0.7257419598543318,0.030377271218656077,0.2668793721354451,0.744882169179678,0.21421092814687875,PASS
132,0.7273007957748652,0.029645896527693612,0.2667592639621844,0.7551390195974939,0.22618115762852442,PASS
133,0.7317346532725593,0.028186605555321816,0.2648651695209964,0.7649482694781147,0.23863175840395773,PASS
134,0.7281193011461857,0.03050688293723213,0.2635836662241875,0.7742927100640438,0.25154088788867573,PASS
135,0.7323238719505819,0.02861950214713293,0.2630464046939403,0.7831559480312316,0.26488589908301063,PASS
136,0.7361570251449107,0.027518158124033326,0.26100832325877826,0.7915224342485347,0.27864338030266234,PASS
137,0.7428201488875181,0.02462210259944867,0.2599195573919806,0.7993774910561773,0.29278919625074784,PASS
138,0.7423767813411137,0.023496425372874608,0.2632879598914213,0.8067073380153522,0.30729853035931387,PASS
139,0.7371938437152772,0.025751156005017484,0.26412980534335984,0.8134991160837945,0.322145928326029,PASS
140,0.7350442499486742,0.026275759140502144,0.26550528971290194,0.8197409101749102,0.3373053427696796,PASS
141,0.7372131825339241,0.02568884498729243,0.2642614093643638,0.8254217700608879,0.3527501789261285,PASS
142,0.7414401953568307,0.022703726552615173,0.2664404394224237,0.8305317295831184,0.36845334130456675,PASS
143,0.7373993025036186,0.024579036445066656,0.26680328075781007,0.8350618241362235,0.38438728122221144,PASS
144,0.7384119137914948,0.02379374809325912,0.2675007375274836,0.8390041063950209,0.40052404513405787,PASS
145,0.7374721963389649,0.02469561935317291,0.26642070619336167,0.842351660256832,0.41683532367289605,PASS
146,0.7375236959262894,0.024270306722555875,0.2674196132857485,0.8450986129746767,0.4332925013135589,PASS
147,0.7327188413043867,0.02428793033890538,0.27338162252225323,0.8472401454600673,0.44986670657427846,PASS
148,0.7333461373786292,0.02418742660598001,0.2728487617617635,0.8487725007373265,0.46652886266707366,PASS
149,0.7322160300632351,0.024663460347312986,0.27307131155267367,0.8496929905346005,0.48324973850832004,PASS
